#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
gatedoom1;Gate of Doom (US revision 1);Final Burn Alpha;darkseal;1990;Data East Corporation;Maze / Fighter;2P sim;;;;0;;darkseal;;;
gatedoom;Gate of Doom (US revision 4);Final Burn Alpha;darkseal;1990;Data East Corporation;Maze / Fighter;2P sim;;;;0;;darkseal;;;
gauntlet2pg1;Gauntlet (2 Players, German, rev 1);Final Burn Alpha;gauntlet;1985;Atari Games;Maze / Shooter Large;2P sim;;;;0;;gauntlet;;;
gauntlet2pg;Gauntlet (2 Players, German, rev 4);Final Burn Alpha;gauntlet;1985;Atari Games;Maze / Shooter Large;2P sim;;;;0;;gauntlet;;;
gauntlet2pj2;Gauntlet (2 Players, Japanese rev 2);Final Burn Alpha;gauntlet;1985;Atari Games;Maze / Shooter Large;2P sim;;;;0;;gauntlet;;;
gauntlet2pj;Gauntlet (2 Players, Japanese, rev 5);Final Burn Alpha;gauntlet;1985;Atari Games;Maze / Shooter Large;2P sim;;;;0;;gauntlet;;;
gauntlet2pr3;Gauntlet (2 Players, rev 3);Final Burn Alpha;gauntlet;1985;Atari Games;Maze / Shooter Large;2P sim;;;;0;;gauntlet;;;
gauntlet2p;Gauntlet (2 Players, rev 6);Final Burn Alpha;gauntlet;1985;Atari Games;Maze / Shooter Large;2P sim;;;;0;;gauntlet;;;
gauntletg;Gauntlet (German, rev 10);Final Burn Alpha;gauntlet;1985;Atari Games;Maze / Shooter Large;4P sim;;;;0;;gauntlet;;;
gauntletgr3;Gauntlet (German, rev 3);Final Burn Alpha;gauntlet;1985;Atari Games;Maze / Shooter Large;4P sim;;;;0;;gauntlet;;;
gauntletgr6;Gauntlet (German, rev 6);Final Burn Alpha;gauntlet;1985;Atari Games;Maze / Shooter Large;4P sim;;;;0;;gauntlet;;;
gauntletgr8;Gauntlet (German, rev 8);Final Burn Alpha;gauntlet;1985;Atari Games;Maze / Shooter Large;4P sim;;;;0;;gauntlet;;;
gauntletj12;Gauntlet (Japanese, rev 12);Final Burn Alpha;gauntlet;1985;Atari Games;Maze / Shooter Large;4P sim;;;;0;;gauntlet;;;
gauntletj;Gauntlet (Japanese, rev 13);Final Burn Alpha;gauntlet;1985;Atari Games;Maze / Shooter Large;4P sim;;;;0;;gauntlet;;;
gauntlets;Gauntlet (Spanish, rev 15);Final Burn Alpha;gauntlet;1985;Atari Games;Maze / Shooter Large;4P sim;;;;0;;gauntlet;;;
gauntletr1;Gauntlet (rev 1);Final Burn Alpha;gauntlet;1985;Atari Games;Maze / Shooter Large;4P sim;;;;0;;gauntlet;;;
gauntlet;Gauntlet (rev 14);Final Burn Alpha;;1985;Atari Games;Maze / Shooter Large;4P sim;;;;0;;;;;
gauntletr2;Gauntlet (rev 2);Final Burn Alpha;gauntlet;1985;Atari Games;Maze / Shooter Large;4P sim;;;;0;;gauntlet;;;
gauntletr4;Gauntlet (rev 4);Final Burn Alpha;gauntlet;1985;Atari Games;Maze / Shooter Large;4P sim;;;;0;;gauntlet;;;
gauntletr5;Gauntlet (rev 5);Final Burn Alpha;gauntlet;1985;Atari Games;Maze / Shooter Large;4P sim;;;;0;;gauntlet;;;
gauntletr7;Gauntlet (rev 7);Final Burn Alpha;gauntlet;1985;Atari Games;Maze / Shooter Large;4P sim;;;;0;;gauntlet;;;
gauntletr9;Gauntlet (rev 9);Final Burn Alpha;gauntlet;1985;Atari Games;Maze / Shooter Large;4P sim;;;;0;;gauntlet;;;
gaunt2;Gauntlet II;Final Burn Alpha;;1986;Atari Games;Maze / Shooter Large;4P sim;;;;0;;;;;
gaunt22pg;Gauntlet II (2 Players, German);Final Burn Alpha;gaunt2;1986;Atari Games;Maze / Shooter Large;2P sim;;;;0;;gaunt2;;;
gaunt22p1;Gauntlet II (2 Players, rev 1);Final Burn Alpha;gaunt2;1986;Atari Games;Maze / Shooter Large;2P sim;;;;0;;gaunt2;;;
gaunt22p;Gauntlet II (2 Players, rev 2);Final Burn Alpha;gaunt2;1986;Atari Games;Maze / Shooter Large;2P sim;;;;0;;gaunt2;;;
gaunt2g;Gauntlet II (German);Final Burn Alpha;gaunt2;1986;Atari Games;Maze / Shooter Large;4P sim;;;;0;;gaunt2;;;
geebeeb;Gee Bee (Europe);Final Burn Alpha;geebee;1978;Namco (F.lli Bertolino license);Ball & Paddle / Breakout;2P alt;;;;0;;geebee;;;
geebee;Gee Bee (Japan);Final Burn Alpha;;1978;Namco;Ball & Paddle / Breakout;2P alt;;;;0;;;;;
geebeea;Gee Bee (UK);Final Burn Alpha;geebee;1978;Namco (Alca license);Ball & Paddle / Breakout;2P alt;;;;0;;geebee;;;
geebeeg;Gee Bee (US);Final Burn Alpha;geebee;1978;Namco (Gremlin license);Ball & Paddle / Breakout;2P alt;;;;0;;geebee;;;
gekiridnj;Gekirindan (Ver 2.3J 1995/09/21);Final Burn Alpha;gekiridn;1995;Taito Corporation;Shooter / Flying Vertical;2P sim;;;;0;;gekiridn;;;
gekiridn;Gekirindan (Ver 2.3O 1995/09/21);Final Burn Alpha;;1995;Taito Corporation;Shooter / Flying Vertical;2P sim;;;;0;;;;;
gemini;Gemini Wing (Japan);Final Burn Alpha;;1987;Tecmo;Shooter / Flying Vertical;2P sim;;;;0;;;;;
geminib;Gemini Wing (World, bootleg) [Bootleg];Final Burn Alpha;gemini;1987;Tecmo;Shooter / Flying Vertical;2P sim;;;;0;;gemini;;;
genix;Genix Family;Final Burn Alpha;;1994;NIX;Shooter / 3rd Person;2P sim;;;;0;;;;;
genpeitd;Genpei ToumaDen;Final Burn Alpha;;1986;Namco;Platform / Fighter Scrolling;2P alt;;;;0;;;;;
gensitou;Genshi-Tou 1930's (Japan);Final Burn Alpha;prehisle;1989;SNK;Shooter / Flying Horizontal;2P sim;;;;0;;prehisle;;;
geostorm;Geostorm (Japan);Final Burn Alpha;gunforc2;1994;Irem;Platform / Shooter Scrolling;2P sim;;;;0;;gunforc2;;;
getstarj;Get Star (Japan);Final Burn Alpha;grdian;1986;Toaplan / Taito;Fighter / 2D;2P alt;;;;0;;grdian;;;
getstarb1;Get Star (bootleg, set 1) [Bootleg];Final Burn Alpha;grdian;1986;bootleg;Fighter / 2D;2P alt;;;;0;;grdian;;;
